,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
357,Na Mindona,,"Mediterranean, European, Spanish",4.5,,"Riereta, 8","La Riereta, Centre, l'Hospitalet de Llobregat, Catalonia, Spain",41.3564893,2.1008981
358,Thai Spicy Restaurante,,,4.5,,"C/Comte Borrell, 188","Carrer del Comte Borrell, 188, 08936 Barcelona, Spain",41.3851067,2.1525486
359,Napoletani Restaurant,,€10 - €30,4.5,,Diputacio 101,"Diputació, 08733 Puigdàlber, Spain",41.4039736,1.6994345
360,Plat Unic,,€29 - €29,5.0,,Carrer Trafalgar 30,"Carrer Trafalgar, 08340 Vilassar de Mar, Spain",41.5041301,2.387879
361,Restaurant MIAN,,€6 - €20,4.5,,"Carrer de Girona, 49","Carrer de Girona, Alberg Fabrizzios Terrace Barcelona, 49, 08037 Barcelona, Spain",41.3934911,2.172635
362,La Foga,,€20 - €30,4.5,,"Passeig De Sant Joan, 32","Passeig de Sant Joan, 32, 08009 Barcelona, Spain",41.3931217,2.1783799
363,El Vaso de Oro,,,4.5,,"Balboa, 6","Carrer de Balboa, 08 Barcelona, Spain",41.3822573,2.1887179
364,Kak Koy,,€37 - €74,4.5,,"Carrer De Ripoll, 16","Carrer de Ripoll, 08516 Olost, Spain",41.9871499,2.0968532
365,Yakumanka by Gaston Acurio,,"Peruvian, Seafood",4.5,,C/ Valencia 207,"Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
366,Bar Pinotxo,,,4.5,,"Rambla, 91. Mercat de la Boqueria","Catalonia, Spain",41.66667,2.0
367,Manairo,,€40 - €100,4.5,,Diputacio 424,"Diputació, 08733 Puigdàlber, Spain",41.4039736,1.6994345
368,Pasta Madre - Tallers,,"Italian, Pizza, European, Street Food",4.5,,"Carrer Dels Tallers, 3","Pasta Madre, Carrer dels Tallers, 3, 08032 Barcelona, Spain",41.3847824,2.1699501
369,Surf House Barcelona,,,4.0,,c/Almirall Aixada 22,"Pg Joan de Borbó - Almirall Aixada, Passeig de Joan de Borbó, 72 Barcelona, Spain",41.3775692,2.1881898
370,Insolita Gea,,"Mediterranean, European, Spanish",4.5,,Sant Antoni Maria Claret 216-220,"Catalonia, Spain",41.66667,2.0
371,Pakta Restaurant,,,4.5,,C/ Lleida 5,"Lleida, Passeig de Sant Joan, 2, 08003 Barcelona, Spain",41.3917633,2.1801488
372,Kuai Momos,,€26 - €31,4.5,,Calle Martinez de la Rosa 71,"Catalonia, Spain",41.66667,2.0
373,Koku Kitchen Ramen,,€4 - €10,4.5,,C/ Carabassa 19,"KOKU KITCHEN, Carrer d'en Carabassa, 19, 08002 Barcelona, Spain",41.3798961,2.1792406
374,Speakeasy,,"Mediterranean, Spanish, European, Fusion",4.5,,"Carrer d'Aribau, 162","Dry Martini, Carrer d'Aribau, 162, 08036 Barcelona, Spain",41.3927442,2.1539985
375,La Catalista Wine Bar and Kitchen,,€10 - €20,5.0,,Carders 11,"Carrer dels Carders, 08204 Sabadell, Spain",41.5282016,2.1129728
376,Platerets,,€12 - €30,4.5,,"Calle Mila I Fontanals 29, Bajos","Catalonia, Spain",41.66667,2.0
377,La cuina de l'Uribou,,"Japanese, Sushi, Asian",4.5,,C/ Taquigraf Serra 26,"Carrer del Taquígraf Serra, 26, 08029 Barcelona, Spain",41.3866483,2.1406996
378,Picnic Restaurant,,,4.5,,1 Carrer del Comerc,"Carrer del Comerç, 1, 08800 Vilanova i la Geltrú, Spain",41.2264612,1.7251879
379,Zim,,"Wine Bar, Spanish",5.0,,"Calle Dagueria, 20","Carrer de la Dagueria, 08002 Barcelona, Spain",41.3831219,2.1782576
380,Ramen House,,€10 - €30,4.5,,"Gran Via de les Corts Catalanes, 682","Ramen House, Gran Via de les Corts Catalanes, 682, 08010 Barcelona, Spain",41.3926999,2.1730565
381,Gravin,,€20 - €35,4.5,,"C/ Rera Palau, 3-5","Catalonia, Spain",41.66667,2.0
382,Casa Calvet,,,4.5,,Carrer de Casp 48,"Casa Calvet, Carrer de Casp, 48, 08010 Barcelona, Spain",41.3908665,2.1731244
383,El Ramblero,,"Mediterranean, European, Spanish",4.5,,"C/ Pont Del Terball, 13","Catalonia, Spain",41.66667,2.0
384,La Taberna de l'Eixample Venezolanos,,"Latin, Venezuelan, Caribbean",4.5,,"Gran via de les corts catalanes, 688","Farmacia Higueras-Alvarez, Gran Via de les Corts Catalanes, 688, 08010 Barcelona, Spain",41.3931836,2.1737079
385,N0 30 Barceloneta Gastrobar,,€20 - €25,4.5,,Passeig Joan de Borbo Numero 30,"Catalonia, Spain",41.66667,2.0
386,Set de Gotic,,,4.5,,"Montsio, 5","Set de Gòtic, Carrer de Montsió, 5, 08002 Barcelona, Spain",41.3857903,2.1738261
387,Restaurante Can Fuste,,€45 - €100,4.5,,"Gran Via de Carlos III, 50-52","Catalonia, Spain",41.66667,2.0
388,Foc,,€7 - €15,4.5,,Passeig de Joan de Borbo 66,"Foc, Passeig de Joan de Borbó, 66, 08003 Barcelona, Spain",41.3759253,2.1892694
389,Argentinisimo,,€3 - €25,5.0,,"Calle Viladomat, 105","Viladomat, Plaça de l'Ajuntament, 08698 la Nou de Berguedà, Spain",42.1671835,1.884449
390,a Restaurant,,€45 - €65,4.5,,"Placa de Sant Felip Neri, 2","Plaça de Sant Felip Neri, Barcelona, Spain",41.3833846,2.1750998
391,Club de L'empanada,,"Bar, Mediterranean, European, Spanish",4.5,,C/ Dagueria 7,"Bar O'Ceo, Carrer de la Dagueria, 7, 08002 Barcelona, Spain",41.3832428,2.1781566
392,Costa Pacifico,,,4.5,,Placa Sant Agusti Vell 13,"Catalonia, Spain",41.66667,2.0
393,Viena,,"Cafe, Fast Food, European, Spanish",4.5,,"Rambles, 115","La Rambla, Barcelona, Spain",41.3808205,2.1735709
394,Somewhere Arago,,€10 - €30,4.5,,"Arago, 310","Aragó, Carrer dels Enamorats, 08013 Barcelona, Spain",41.4041622,2.1816598
395,The George Payne,,"Irish, Bar, Pub",4.5,,"Plaza Urquinaona, 5","Pl Urquinaona, Plaça d'Urquinaona, 08010 Barcelona, Spain",41.3888302,2.1732531
396,OMA Bistro,,,4.0,,"Carrer Del Consell de Cent, 227","Oma, Carrer del Consell de Cent, 227, 08011 Barcelona, Spain",41.3855902,2.1581806
397,Gata Mala,,,4.5,,"Carrer Rabassa, 37","Rabassa, Carrer de Rabassa, 5, 08024 Barcelona, Spain",41.4069631,2.1586352
398,Sindur Indian Cuisine,,€15 - €24,4.5,,Calle Corsega 211-Bis,"Catalonia, Spain",41.66667,2.0
399,Beer'linale,,€5 - €50,4.5,,"C/ del Carme, 7","Carme, Catalonia, Spain",41.5319058,1.6198579
400,Manglar,,€3 - €35,5.0,,Muntaner 124,"el Muntaner, Sobremunt, Catalonia, Spain",42.0316824,2.1622
401,Komo en Kasa,,,4.5,,Carrer de Joaquin Costa 3,"Carrer de Joaquín Costa, 08338 Premià de Dalt, Spain",41.5010455,2.3584167
402,Estel de Gracia,,€5 - €24,4.5,,"Carrer de Francisco Giner, 23","Estel de Gràcia, Carrer de Francisco Giner, 23, 08008 Barcelona, Spain",41.399022,2.1591753
403,Restaurante Voramar,,,4.0,,"Passeig de Joan de Borbo, 72-73","Passeig de Joan de Borbó, 72 Barcelona, Spain",41.3794941,2.1874593
404,Casa Angela,,€15 - €35,4.5,,"Plaza Sagrada Familia, 13-15","Plaça Sagrada Familia, Santa Coloma de Gramenet, Spain",41.4590581,2.205685
405,Marmalade Barcelona,,"Bar, International, European",4.5,,Riera Alta 4-6,"la Riera, Catalonia, Spain",41.3883575,1.7244068
406,Baritimo,,,4.0,,"Moll de Espanya, 5","Catalonia, Spain",41.66667,2.0
407,L' Anxoveta,,€7 - €26,4.5,,Sant Domenec 16,"Sant Domènec, 08221 Terrassa, Spain",41.5599281,2.0120438
408,Atapa-It,,€10 - €25,4.5,,146 Carrer de Muntaner,"Carrer de Muntaner, 146, 08036 Barcelona, Spain",41.3905311,2.1546824
409,Indian Herbs,,€15 - €25,5.0,,"Carrer de corsega, 421","Indian Herbs, Carrer de Còrsega, 421, 08037 Barcelona, Spain",41.4006886,2.1646929
410,Boa-Bao,,,4.5,,"Placa del Dr. Letamendi, 1","Plaça del Doctor Letamendi, l'Antiga Esquerra de l'Eixample, Barcelona, Catalonia, Spain",41.3892076,2.160511
411,Restaurante El Foro,,,4.0,,Carrer Princesa N0 53,"Carrer Princesa, 08571 Sant Vicenç de Torelló, Spain",42.0577009,2.2615986
412,Krampus,,€9 - €18,4.0,,"Saragossa, 89","Creperia Krampus, Carrer de Saragossa, 89, 08006 Barcelona, Spain",41.4034137,2.1470272
413,La Paradeta Paral.lel,,€20 - €40,4.5,,"Avenida Paral.lel, 46","Catalonia, Spain",41.66667,2.0
414,Zona d'Ombra,,,4.5,,"Sant Domenec del call, 12","Catalonia, Spain",41.66667,2.0
415,Els Pinxus Barra de Tapes,,€10 - €25,4.5,,81 Calle Maria Cubi,"Carrer Maria Cubi, 08380 Malgrat de Mar, Spain",41.642128,2.7412135
416,Gelida,,€4 - €12,4.5,,Diputacio 133,"Diputació, 08733 Puigdàlber, Spain",41.4039736,1.6994345
417,La Cuina de Laietana,,€10 - €40,4.5,,Via Laietana 71,"Via Laietana, 71, 08003 Barcelona, Spain",41.3882756,2.1728529
418,Palo Santo,,,4.5,,"Carrer d' Avinyo, 30","Avinyó, Catalonia, Spain",41.8630096,1.9707409
419,La Fresca,,€8 - €12,4.5,,"Maquinista, 8","La Maquinista, Carrer de Sao Paulo, 08030 Barcelona, Spain",41.4408218,2.1982884
420,Garlana,,€12 - €25,4.5,,C/Capita Arenas. 27,"Carrer del Capità Arenas, 27, 08034 Barcelona, Spain",41.3911051,2.1256023
421,Llamber,,,4.5,,"Carrer de la Fusina, 5","Carrer de la Fusina, Barcelona, Spain",41.3864095,2.1832549
422,Rossini,,"Italian, Pizza",4.0,,Plaza Real 13,"Royal Square, Barcelona, Spain",41.3800909,2.1750111
423,Lucy's Burger & Tapas,,€15 - €70,5.0,,"Carrer Aribau, 65","Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
424,Mussol Casp,,€20 - €40,4.0,,"Carrer Casp, 19","Carrer de Casp, 08013 Barcelona, Spain",41.3974988,2.1815631
425,Mayura,,€25 - €47,4.0,,"Carrer Girona, 57","Carrer Girona, 08571 Sant Vicenç de Torelló, Spain",42.0661536,2.2418465
426,El Callejon,,€15 - €27,4.5,,Carrer Ample 33 bis o Carrer Gignas 10-12,"Catalonia, Spain",41.66667,2.0
427,La Braseria Argentina Iguazu,,"South American, Steakhouse, Latin, Barbecue, Argentinean",4.5,,Calle Almirante Cervera Num. 4,"Catalonia, Spain",41.66667,2.0
428,Aladdin Restaurante,,,4.5,,"Avinguda de Gaudi, 50,","Avinguda de Gaudí, 50, 8025 Barcelona, Spain",41.4085771,2.1745706
429,Bismillah Kebabish,,,4.5,,22 Carrer de Joaquin Costa,"Bismillah-Kebabish, Carrer de Joaquín Costa, 22, 08001 Barcelona, Spain",41.3819856,2.1664942
430,Bodega 1900,,,4.5,,Carrer Tamarit 91,"Carrer Tamarit, 08291 Ripollet, Spain",41.5000794,2.1588339
431,Sintonia,,€35 - €45,4.5,,"Rossello, 249","Plaça del Rosselló, Argentona, Catalonia, Spain",41.5522494,2.3990221
432,Restaurante Bivio,,,4.5,,"Passeig de Joan de Borbo, 60","Passeig de Joan de Borbó, 08 Barcelona, Spain",41.3810792,2.1863797
433,La Vinoteca Torres,,,4.0,,"Passeig de Gracia, 78","Passeig de Gràcia, 78, 08008 Barcelona, Spain",41.3938813,2.1632707
434,Peix d'or,,,4.5,,"Calle Ausias Marc, 73","Carrer Ausias Marc, 08500 Vic, Spain",41.9186839,2.2574027
435,Kitsune Sushi Bar Gracia,,€15 - €30,4.5,,Carrer del Montseny 13,"Kiltro, Carrer del Montseny, 13, 08012 Barcelona, Spain",41.4018337,2.1544437
436,Jamon y vino,,€4 - €24,4.0,,"Carrer de Sardenya, 310","Jamón y Vino, Carrer de Sardenya, 310, 08088 Barcelona, Spain",41.4023982,2.1748571
437,Botafumeiro,,,4.5,,"Carrer Gran de Gracia, 81","Botafumerio, Carrer Gran de Gràcia, 81, 08012 Barcelona, Spain",41.4003766,2.1547043
438,La Pizza del Born,,"Pizza, Fast Food",4.0,,"Passeig del Born, 22","Passeig del Born, Barcelona, Spain",41.384793,2.1828281
439,Rioba,,€28 - €41,5.0,,"Carrer de Magalhaes, 35","Carrer de Magalhaes, 08004 Barcelona, Spain",41.3722149,2.1629855
440,La Capricciosa,,"Italian, Pizza, Mediterranean, European",4.5,,"Calle Viladomat, 265","Viladomat, Plaça de l'Ajuntament, 08698 la Nou de Berguedà, Spain",42.1671835,1.884449
441,Taller de Tapas Rambla de les FLors,,,4.0,,Rambla de les Flors 108,"Catalonia, Spain",41.66667,2.0
442,Vai Moana,,,4.5,,Avenida Litoral S/N,"Catalonia, Spain",41.66667,2.0
443,Bar Andalucia,,"Mediterranean, Spanish, Catalan, European",4.5,,"Carrer De Ramon Turro, 270","Carrer de Ramon Turró, 270, 08005 Barcelona, Spain",41.4030336,2.207332
444,Majide,,"Japanese, Sushi, Asian",4.5,,"Carrer Tallers,48 bis","Carrer Tallers, 08570 Torelló, Spain",42.0489229,2.2741805
445,Sala 1625,,€15 - €30,4.5,,Avenida gaudi 20 bis,"Avinguda Gaudí, 08620 Sant Vicenç dels Horts, Spain",41.3802623,1.9988352
446,Margarita Blue,,€19 - €32,4.5,,"Josep Anselm Clave, 6","Carrer de Josep Anselm Clavé, 08301 Mataró, Spain",41.5440721,2.4462119
447,Narciso,,€5 - €12,5.0,,Princesa 9,"Carrer Princesa Làscaris, 08693 Casserres, Spain",42.0127745,1.8414988
448,Maitea Taberna,,€9 - €35,4.5,,"Calle Casanova, 155","Casanova, Montmajor, Catalonia, Spain",41.9614742,1.7385128
449,Restaurante argentino El Calafate,,€18 - €28,4.5,,"Calle de Paris, 145","Carrer de Paris, El Calafate, 145, 08036 Barcelona, Spain",41.3914207,2.1501165
450,RARA39,,€4 - €20,5.0,,Rambla de Raval 39,"La Rambla, Carrer de les Cabres, 08001 Barcelona, Spain",41.3810823,2.173344
451,Beirut Restaurant,,€4 - €30,3.5,,Carrer Josep Anselm Clave 9,"Carrer Josep Anselm Clavé, 9, 08800 Vilanova i la Geltrú, Spain",41.2201997,1.7261909
452,MESON JESUS,,€12 - €25,4.5,,Calle Cecs de La Boqueria N0 4,"Catalonia, Spain",41.66667,2.0
453,Antunez,,€25 - €40,4.5,,Street de Neptu 18,"Catalonia, Spain",41.66667,2.0
454,Santa Caterina's Market,,,4.0,,"Av Francesc Camo, 16","Catalonia, Spain",41.66667,2.0
455,Hummus Barcelona Vegetarian Street Food,,€5 - €15,4.5,,Valencia 227,"Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
456,A Casa Mia Trattoria,,€33 - €45,4.5,,"Calle Maria Cubi, 96","Carrer Maria Cubi, 08380 Malgrat de Mar, Spain",41.642128,2.7412135
457,Pummarola Pizzeria Napoletana,,€2 - €12,4.5,,Ronda Sant Pau 59,"Ronda Sant Pau, Avinguda del Paral·lel, 08001 Barcelona, Spain",41.3750966,2.1681601
458,65 Degrees Barcelona,,,5.0,,Carrer del Davant del Portal Nou 3,"Carrer del Davant del Portal Nou, 08003 Barcelona, Spain",41.3899607,2.1805608
459,El Cocinero de Damasco,,"Fast Food, Middle Eastern",4.5,,"Templers 2, corner with Palau","Catalonia, Spain",41.66667,2.0
460,Monvinic,,,4.5,,"Diputacio, 249","Diputació, 08733 Puigdàlber, Spain",41.4039736,1.6994345
461,Lolita Taperia,,€5 - €40,4.5,,"c/ Tamarit, 104","Lolita Taperia, Carrer de Tamarit, 104, 08015 Barcelona, Spain",41.3760685,2.1577874
462,Monster Sushi,,€25 - €35,4.5,,Gala Placidia 25,"Catalonia, Spain",41.66667,2.0
463,ABaC,,,4.5,,"Avinguda Tibidabo, 1","Avinguda Tibidabo, Plaça de John F. Kennedy, 08022 Barcelona, Spain",41.409953,2.137057
464,Rumbanroll,,€5 - €9,4.5,,"Carrer de la Maquinista, 6","Carrer de la Maquinista, 08 Barcelona, Spain",41.3807756,2.1888683
465,Hoja Santa,,"Mexican, Latin",4.5,,Avenida Mistral 54-56,"Mistral, Avinguda de Mistral, 8015 Barcelona, Spain",41.3761,2.15421
466,O'Toxo Tres Hermanos,,"Mediterranean, European, Spanish, Catalan",4.0,,"Carrer del Carme, 59","O Toxo, Carrer del Carme, 59, 08001 Barcelona, Spain",41.3810185,2.1681882
467,La Lola de las Arenas,,"Mediterranean, European, Spanish, Catalan",4.0,,"Gran Via de les Corts Catalanes, 373-385","Veritas, Gran Via de les Corts Catalanes, 373-385, 8015 Barcelona, Spain",41.3761395,2.1493475
468,MAMA,,€7 - €14,4.5,,Avenida Paral-lel 174,"Catalonia, Spain",41.66667,2.0
469,Restaurante Don Angelo,,"Italian, Pizza, Mediterranean, European",5.0,,"Valencia, 438","Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
470,Las Mananitas - Tex Mex BCN,,€9 - €23,4.0,,Gran Via de les Cortes Catalanes 715,"Catalonia, Spain",41.66667,2.0
471,La Pampa,,"Steakhouse, Barbecue, European, Argentinean",4.5,,Passeig de Joan de Borbo 28,"Passeig de Joan de Borbó, 72 Barcelona, Spain",41.380025,2.1873629
472,Bodega Joan,,,4.0,,"Carrer del Rossello, 164, 08036 Barcelona, Spain","08036, Spain",41.3888,2.159
473,Wakasa,,€27 - €40,4.5,,"Napols, 287","Carrer de Nàpols, 287, 08013 Barcelona, Spain",41.4028252,2.1693704
474,Kata Restaurant,,€10 - €13,4.5,,Pujades 316,"Carrer de Pujades, Pujades, 08005 Barcelona, Spain",41.3954862,2.1926725
475,El Tall Iberic,,"European, Spanish, Mediterranean",4.5,,"Valencia, 637","Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
476,La Rovira,,"Bar, Mediterranean, European, Spanish",4.5,,"Calle Rabassa, N 23","Catalonia, Spain",41.66667,2.0
477,Raffaelli Italian Restaurant,,€25 - €50,4.5,,11th Luis Antunez Street,"Carrer de Luis Antúnez, 08012 Barcelona, Spain",41.3984456,2.1554117
478,Petit Bangkok,,"Thai, Asian",4.5,,"Carrer de Balmes, 106","Petit Bangkok, Carrer de Balmes, 106, 080007 Barcelona, Spain",41.3923446,2.1588778
479,La Lluna Restaurant,,,4.0,,"Calle Santa Anna, 20","Carrer Santa Anna, 08710 Santa Margarida de Montbui, Spain",41.5741339,1.6073196
480,Clubhaus,,€5 - €19,4.5,,Avenida del Marques de l'Argentera 13,"Avinguda del Marquès de l'Argentera, 08003 Barcelona, Spain",41.3856543,2.1858064
481,Yamadori,,"Japanese, Sushi, Asian",4.0,,Aribau # 66,"Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
482,Gusto del Born,,"Italian, Pizza, Fast Food, European",4.5,,Passeig del Born 16,"Passeig del Born, Barcelona, Spain",41.384793,2.1828281
483,Pizze E Delizie,,€10 - €20,4.5,,Rambla Marina 54,"La Rambla, Barcelona, Spain",41.3808205,2.1735709
484,SiamoQua,,€10 - €25,4.5,,Rambla del Poblenou 123,"Rambla del Poblenou, Barcelona, Spain",41.3980526,2.2052542
485,The Ranch Smokehouse,,€3 - €17,4.5,,Ronda Universitat 20,"Ronda Universitat, Carrer de Pelai, 08007 Barcelona, Spain",41.3859863,2.1652431
486,La Cassola,,,4.5,,"C/ Sant Sever, 3","Sant Sever, 08004 Barcelona, Spain",41.3537234,2.1551096
487,El Portalon,,,4.0,,Carrer Dels Banys Nous 20,"Portalón, Carrer dels Banys Nous, 20, 08002 Barcelona, Spain",41.3829111,2.1746298
488,Mamma Mia,,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian",4.5,,"Carrer de Pallars, 230","Carrer de Pallars, 230, 08005 Barcelona, Spain",41.4027306,2.2000622
489,Poke Si,,€9 - €12,4.5,,Casanova 189,"Avinyó, Catalonia, Spain",41.8799485,1.9562008
490,Acqua & Farina,,,4.5,,"Carrer de la Maquinista, 52","Carrer de la Maquinista, 08 Barcelona, Spain",41.3807756,2.1888683
491,La Cuina d'en Garriga,,€15 - €45,4.5,,"Carrer d'Enric Granados, 58","Carrer d'Enric Granados, 58, 080007 Barcelona, Spain",41.3919565,2.157337
492,Taperia Princesa,,,4.0,,"c/ Princesa, 20","Taperia Princesa, Carrer de la Princesa, 20, 08003 Barcelona, Spain",41.3851961,2.1803933
493,Hisop,,"Mediterranean, European, Spanish, Contemporary",4.0,,"Passatge Marimon, 9","Passatge de Marimon, 9, 08021 Barcelona, Spain",41.3945713,2.1481743
494,Paella Bar Boqueria,,,4.0,,Portics de la Boqueria Locals 6-7,"Catalonia, Spain",41.66667,2.0
495,La Luna,,,4.5,,"Carrer Abaixadors, 10","Carrer dels Abaixadors, CP 08003 Barcelona, Spain",41.3832838,2.1813365
496,Setze Restaurant,,"Mediterranean, Spanish",4.5,,Galileu 316,"Passeig de Sant Antoni, Galileu, 08014 Barcelona, Spain",41.3755137,2.135837
497,el Tap,,,4.5,,08029,"08029 Barcelona, Spain",41.3898147,2.1423462
498,El Rincon de la Abuela Venezolana,,€4 - €15,4.0,,"Calle Mallorca, 470","Carrer Mallorca, 08110 Montcada i Reixac, Spain",41.4936096,2.1863173
499,Ocho Bcn,,"Steakhouse, Latin, Mediterranean, Spanish, Argentinean",4.5,,"Calle Tamarit,109","Carrer Tamarit, 08291 Ripollet, Spain",41.5000794,2.1588339
500,Bar Bitacora Barceloneta,,"Mediterranean, Spanish",4.0,,"Balboa, 1","Yes Rent Barceloneta, Carrer de Balboa, 1, 08003 Barcelona, Spain",41.3819385,2.1870468
501,Temple Bar & Irish Pub,,"Irish, Bar, European, Pub, Gastropub",4.0,,"C. Ferran, 6","Cal Pau, Olèrdola, Catalonia, Spain",41.352786,1.7393472
502,9 Granados Restaurant,,,4.0,,"Enric Granados, 9","Av. Rius i Taulet, Enric Granados, Avinguda de Rius i Taulet, 08172 Sant Cugat del Vallès, Spain",41.4720436,2.0814069
503,Restaurante Romesco,,€9 - €14,4.0,,"Carrer de Sant Pau, 28","Carrer de Sant Pau, 28, 08800 Vilanova i la Geltrú, Spain",41.2257812,1.724465
504,Restaurante Mar Beach restaurant bar,,€20 - €40,4.5,,Plaza Del Mar 1,"Plaça del Mar, Sant Oleguer, Sabadell, Catalonia, Spain",41.5428572,2.1174591
505,Giorgio Barcelona,,,4.5,,"c/ Ausias Marc, 3","Carrer Ausias Marc, 08500 Vic, Spain",41.9186839,2.2574027
506,Santagustina,,,4.0,,"Plaza Sant Agusti Vell, 9","Catalonia, Spain",41.66667,2.0
507,Casa Dorita,,€6 - €35,4.0,,"Calle Tamarit, 142","Carrer Tamarit, 08291 Ripollet, Spain",41.5000794,2.1588339
508,Rangoli,,€18 - €49,4.0,,Passeig Joan de Borbo 78,"Pg Joan de Borbó, Passeig de Joan de Borbó, 72 Barcelona, Spain",41.3800122,2.1871883
509,Yesterday Restaurant,,"Mediterranean, Spanish",5.0,,"Riera de Sant Miquel, 75","Riera de Sant Miquel, 08585 Sora, Spain",42.0846697,2.1892033
510,VULCANUS Pizza & Pasta,,,4.5,,"Calle Entenca, 64","Entença, Carrer del Rosselló, 08936 Barcelona, Spain",41.3839818,2.1449598
511,Ziryab,,€15 - €30,5.0,,Grunyi 5,"Ziryab Fusion Tapas Bar, Carrer de Grunyí, 5, 08003 Barcelona, Spain",41.3840509,2.1802488
512,Pla Restaurant,,,4.5,,"Calle Bellafila, 5","Carrer de Bellafila, 08002 Barcelona, Spain",41.3821117,2.1784063
513,Futami,,"Japanese, Sushi, Asian",4.5,,"Enric Granados, 10","Av. Rius i Taulet, Enric Granados, Avinguda de Rius i Taulet, 08172 Sant Cugat del Vallès, Spain",41.4720436,2.0814069
514,Restaurant Catedra,,€8 - €20,4.5,,Via Laietana N0 5,"Via Laietana, 08002 Barcelona, Spain",41.3862324,2.1757365
515,Kamana Bar,,€6 - €10,5.0,,Pasaje Foraste No 4 Bis,"Catalonia, Spain",41.66667,2.0
516,Aguelo013,,€18 - €40,4.0,,"C/ Avinyo, 37","Avinyó, Catalonia, Spain",41.8630096,1.9707409
517,CentOnze Restaurant,,"Mediterranean, European, Spanish, Catalan, Fusion",4.0,,Ramblas 111,"Hotel chic&basic Ramblas, Passatge de Gutenberg, 7, 08001 Barcelona, Spain",41.3770098,2.1748842
518,Las Delicias Del Carmelo,,"Mediterranean, European, Spanish",4.0,,Carretera del Carmelo,"Catalonia, Spain",41.66667,2.0
519,Tropico Brunch,,,4.0,,"Carrer Marques de Barbera, 24","carrer Marques de Barberà, 08339 Vilassar de Dalt, Spain",41.517683,2.358729
520,Pura Brasa Rambla,,,4.0,,Rambla Catalunya 13,"Rambla de Catalunya, 08007 Barcelona, Spain",41.392756,2.1611337
521,Restaurante Mano Rota,,"International, Mediterranean, Spanish, European, Fusion",4.0,,Carrer Creu Dels Molers 4,"Catalonia, Spain",41.66667,2.0
522,La Pala Boqueria,,"Italian, Pizza, European",4.5,,Carrer Hospital 34,"Carrer Hospital, 08402 Granollers, Spain",41.6145579,2.2908011
523,Restaurante Paco Alcalde,,€12 - €90,4.0,,Carrer de l'Almirall Aixada 12,"Carrer de l'Almirall Aixada, 72 Barcelona, Spain",41.3773817,2.1898208
524,La Guerita Mexicana,,€10 - €16,5.0,,C/ Manso 53,"carrer del General Manso, Borredà, Spain",42.1342602,1.9951674
525,Golfo de Bizkaia,,€20 - €40,4.0,,"Calle Vidrieria, 12","Carrer de la Vidrieria, CP 08003 Barcelona, Spain",41.384061,2.1830025
526,Casa Alfonso,,,4.0,,"Roger de Lluria, 6","Roger De Lluria, Carrer de Roger de Llúria, 08010 Barcelona, Spain",41.3910629,2.1718498
527,Dr. Beer & Mr. Fried,,€5 - €13,5.0,,"Carrer de la Riera Alta, 33","Colibrí, Carrer de la Riera Alta, 33, 08001 Barcelona, Spain",41.3803689,2.165829
528,Piazza Grande,,€8 - €30,4.5,,"Plaza Julio Gonzalez, 10","Catalonia, Spain",41.66667,2.0
529,Viblioteca,,Wine Bar,4.5,,Carrer Vallfogona 12,"Carrer Vallfogona, 08012 Barcelona, Spain",41.4031868,2.1575857
530,Lexis Restaurant & Cocktail Bar,,"International, Mediterranean, European, Contemporary, Catalan, Spanish",4.0,,"Aribau, 38","Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
531,Buenas Migas Passeig de Gracia,,,4.0,,"Passeig de Gracia, 120","Buenas Migas, Passeig de Gràcia, 120, 08008 Barcelona, Spain",41.39758,2.1587512
532,Xerta Restaurant,,,4.5,,"C/ Corsega, 289","Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
533,Restaurante Cierzo,,€12 - €30,5.0,,Carrer Bailen 56,"Carrer Bailén, 56, 08800 Vilanova i la Geltrú, Spain",41.2223239,1.7162871
534,La Taqueria,,"Mexican, Latin, Central American",4.0,,Passatge del Font 5,"Passatge de la Font del Lleó, 08034 Barcelona, Spain",41.3957585,2.1039686
535,Mabel The Granja,,"Mediterranean, European, Spanish",4.5,,"Carrer de la Marina, 114","MABEL the Granja, Carrer de la Marina, 114, 08018 Barcelona, Spain",41.3947754,2.1873544
536,Morning Glory Coffee & Brunch,,"Cafe, Mediterranean, European, Healthy",5.0,,Carrer Riereta 15,"08507 Sant Julià de Vilatorta, Spain",41.9091097,2.313614
537,La Taverna de Barcelona,,"Bar, Gastropub, Mediterranean, European, Spanish, Pub",4.0,,"Ronda de la Universitat, 37","La tavern de barcelona, Ronda de la Universitat, 37, 08007 Barcelona, Spain",41.387328,2.1679739
